A & M Institute Of Mgt. & Tech ,,Punjab   
A.J. College Of Science & Technology, Trivandrum  , Kerala  
"A.J. Institute Of Medical Science & Research Centre, Mangalore", Mangalore  , Karnataka  
A.K. (Pg) College,, Uttar Pradesh  
A.K. Chanda Law College, Silchar  , Assam  
A.K. College,, Uttar Pradesh  
A.K. Navajeevan College For Women, Hyderabad  , Andhra Pradesh  
A.K. Vishwanatha Reddy Degree College, Karimnagar  , Andhra Pradesh  
A.K.C. College Of Arts And Science, Virudunagar  , Tamil Nadu  
A.K.D. Dharmarajas Womens College, Virudunagar  , Tamil Nadu  
A.K.I. Junior College Of Education,, Maharashtra  
A.K.K. New Law Academy, Pune  , Maharashtra  
A.K.P. Degree College,, Uttar Pradesh  
A.K.R. Teacher Training Institute For Women,, Tamil Nadu  
A.K.R.G. College, Nallajerla  , Andhra Pradesh  
A.K.R.G. College Of Pharmacy, Nallajerla  , Andhra Pradesh  
A.K.T. Memorial College Of Education, Villupuram  , Tamil Nadu  
A.K.V.K. Degree College, Ongole  , Andhra Pradesh  
A.L.C. Teachers Training Institute For Women, Tiruvannamalai  , Tamil Nadu  
A.M. College Of Education,, Haryana  
A.M. Linganna College Of Education,, Andhra Pradesh  
A.M. Marathi Junior College Of Education (Ded),, Maharashtra  
A.M. Patil Arts And Commerce & Kail N.K. Patil Science College,, Maharashtra  
A.M. Reddy College Of Education,, Andhra Pradesh  
A.M. Reddy Memorial College Of Pharmacy, Guntur  , Andhra Pradesh  
A.M.C. Engineering College, Bangalore  , Karnataka  
A.M.E.S. College Of Education,, Tamil Nadu  
A.M.K. Kothari Technological Polytechnical Institute, Thanjavur  , Tamil Nadu  
A.M.S. Mannadiar Memorial Teacher Training Institute,, Kerala  
A.M.S. School Of Informatics, Hyderabad  , Andhra Pradesh  
"A.N. Magadh Medical College, Gaya", Gaya  , Bihar  
A.N. Shiksha Shashtri College,, Rajasthan  
A.N.D. Teachers Training College,, Uttar Pradesh  
A.N.J.A. College, Virudunagar  , Tamil Nadu  
A.N.R. & P.L. Arts & Science College, Gudivada  , Andhra Pradesh  
A.P. College Of Education,, Andhra Pradesh  
A.P.A. College Of Arts And Culture, Palani  , Tamil Nadu  
A.P.C. Mahalakshmi College For Women, Tuticorin  , Tamil Nadu  
A.P.S. Degree College,, Uttar Pradesh  
A.Q.J. College, Visakhapatnam  , Andhra Pradesh  
A.R. Engineering College, Villupuram  , Tamil Nadu  
A.R.C. Viswanathan College, Mayiladuthurai  , Tamil Nadu  
A.R.J College Of Engineering And Technology, Mannargudi  , Tamil Nadu  
A.R.R. College Of Education,, Tamil Nadu  
A.R.R. College Of Education For Women,, Tamil Nadu  
A.R.R. Teacher Training Institute,, Tamil Nadu  
A.R.R. Teachers Education Institute,, Tamil Nadu  
A.R.R. Teachers Training Institute For Women,, Tamil Nadu  
A.S. College Deoghar,, Jharkhand  
A.S. College For Women,, Punjab  
A.S. College Of Education,, Tamil Nadu  
A.S. College Of Teacher Training Institute,, Tamil Nadu  
"A.S. College,Ludhiana",, Punjab  
A.S. Degree College,, Uttar Pradesh  
A.S. Pre Primary Tti,, Kerala  
A.S. Teacher Training Institute,, Kerala  
A.S.M. College For Women, Warangal  , Andhra Pradesh  
A.S.M.M. Teacher Training Institute,, Kerala  
A.S.N. Degree College, Guntur  , Andhra Pradesh  
A.S.N. Degree College For Women, Amalapuram  , Andhra Pradesh  
A.S.R. College Of Education,, Andhra Pradesh  
A.S.R. Degree College, Kovvur  , Andhra Pradesh  
A.S.S. Mahavidyalaya,, Uttar Pradesh  
A.S.S.P. Mandals Maharaj J.P. Valvi Arts College,, Maharashtra  
A.S.S.S. Sanchalit D Ed College,, Maharashtra  
A.T.S.P.M. Arts & Commerce College,, Maharashtra  
A.V. Abdurahiman Haji Arts & Science College, Kozhikode  , Kerala  
"A.V. College Of Arts, Science & Commerce", Hyderabad  , Andhra Pradesh  
A.V.C. College, Mayiladuthurai  , Tamil Nadu  
A.V.C.C. Polytechnic College, Mayiladuthurai  , Tamil Nadu  
A.V.M. Degree College, Nalgonda  , Andhra Pradesh  
A.V.M. Teachers Training Isntitute,, Karnataka  
A.V.R. & V.P.R. Degree College, Mandapeta  , Andhra Pradesh  
A.V.R. Degree College, Krishna  , Andhra Pradesh  
A.V.S. College Of Education,, Karnataka  
A.V.S. College Of Education,, Tamil Nadu  
A.V.S. College Of Science, Salem  , Tamil Nadu  
A.V.V. Degree College, Warangal  , Andhra Pradesh  
A.V.V.M. Sri Pushpam College, Poondi  , Tamil Nadu  
A.W.H. Special College, Kozhikode  , Kerala  
A.Y.T. College Of Education,, Uttar Pradesh  
Aadi Lakshmi College Of Education,, Andhra Pradesh  
Aadinath Mahila Shikshak Prashikshan Mahavidyalaya,, Rajasthan  
Aadinath Teacher Training College,, Rajasthan  
Aadishakti Bahuudeshiya Sanstha,, Maharashtra  
Aaditya Teachers College,, Karnataka  
Aadya Shree Nijalingeswar S Sansthes Bed College,, Karnataka  
Aakar Adhyapan Mandir,, Gujarat  
Aaksh College Of Education,, Haryana  
Aaksh Vidyalaya Teacher Training Institute,, Tamil Nadu  
Aalim Muhammed Salegh College Of Engineering, Chennai  , Tamil Nadu  
Aalim Muhammed Salegh Polytechnic College, Chennai  , Tamil Nadu  
Aaricent College Of Education,, Madhya Pradesh  
Aarupadai Veedu Institute Of Technology, Chennai  , Tamil Nadu  
"Aarupadai Veedu Medical College, Pondicherry", Pondicherry  , Pondicherry  
Aasee College Of Education,, Tamil Nadu  
Aasee Teacher Training Institute,, Tamil Nadu  
Aastha College Of Education For Women,, Haryana  
Aastha College Of Education Vpo,, Haryana  
Aastha Educational Institute,, Uttar Pradesh  
Aatama Ram Teachers Training College,, Rajasthan  
Aathavan Teacher Training Institute,, Tamil Nadu  
Aathityaa Teacher Training Institute,, Tamil Nadu  
Abacus Institute Of Engineering & Management, Hooghly  , West Bengal  
Abasaheb Kakade Shikshan Sanstha Vidyalaya,, Maharashtra  
Abasaheb Marathe Arts And New Commerce,, Maharashtra  
Abdul Aziz Ansari Degree College,, Uttar Pradesh  
Abdul Kalam Institute Of Technological Sciences, Khammam  , Andhra Pradesh  
Abdul Qadir Jeelani Centre For Pg Studies, Anandapuram  , Andhra Pradesh  
Abdul Razzak Quadri Institute Of P G Studies In,, Maharashtra  
Abeda Begum Memorial D Ed College,, Karnataka  
Abeda Inamdar Senur College For Girls Arts Science & Commerce,, Maharashtra  
Abes Institute Of Technology, Ghaziabad  , Uttar Pradesh  
Abhay Mahavidyalaya,, Uttar Pradesh  
Abhay Shikshan Kendra Dr Babasaheb A S Bhavan,, Maharashtra  
Abhay Yung Kalyan Kendra'S Ju College Of Education,, Maharashtra  
Abhay Yuwa Kalyan Kendar'S College Of Education,, Maharashtra  
Abhayapuri College, Bongaigaon  , Assam  
Abhedananda Mahavidyalaya,, West Bengal  
Abhijit Kadam Institute Of Management & Social Sciences, Sholapur  , Maharashtra  
Abhilasha T T College,, Rajasthan  
Abhilasha Teachers Training Collage,, Rajasthan  
Abhilashi College Of Education,, Himachal Pradesh  
Abhilashi College Of Physical Education,, Madhya Pradesh  
Abhilashi Sanskratik Avm Shaikshnik Samiti,, Madhya Pradesh  
Abhinav College Of Education,, Maharashtra  
Abhinav Education Society,, Maharashtra  
Abhinav Education Society Institute Of Management & Research, Haveli  , Maharashtra  
Abhinav Education Societys Law College, Pune  , Maharashtra  
Abhinav Sewa Sansthan Mahavidyalaya,, Uttar Pradesh  
Abhyudaya Degree College, West Godavari  , Andhra Pradesh  
"Abhyudaya Degree College, Srikakulam", Srikakulam  , Andhra Pradesh  
Abhyudaya Mahila Degree College, Guntur  , Andhra Pradesh  
Abi Abi College, Thanjavur  , Tamil Nadu  
Abinav Institute Of Management & Technology, Prakasam  , Andhra Pradesh  
Abms Parishad'S Yashwantrao Chavan Law College, Pune  , Maharashtra  
Abraham Malpan Memorial Teacher Trg Institute,, Kerala  
Abs Academy,, West Bengal  
Abss Institute Of Technology, Meerut  , Uttar Pradesh  
Abubakar Memorial Hindi Pandit Trng College,, Andhra Pradesh  
Abul Kalam Azad Degree College, Medak  , Andhra Pradesh  
Abul Kalam Azad Educational Institute,, Uttar Pradesh  
Ac Evening College, Guntur  , Andhra Pradesh  
Academy Of Business & Engineering Sciences, Ghaziabad  , Uttar Pradesh  
Academy Of Business Administration, Balasore  , Orissa  
Academy Of Business Management,, Uttar Pradesh  
Academy Of Engineering And Educational Research Institute Of Technology,, Maharashtra  
Academy Of Management Excellence,, Uttar Pradesh  
Academy Of Management Studies, Bhubaneswar  , Orissa  
Academy Of Management Studies,, Uttaranchal  
"Academy Of Medical Sceiences, Pariyaram, Kannur", Kannur  , Kerala  
Academy Of Technology, Hooghly  , West Bengal  
Accurate Institute Of Management & Technology, Noida  , Uttar Pradesh  
Ace Engineering College, Ghatkesar  , Andhra Pradesh  
Acharatlal Girdhar Lal Teachers College,, Gujarat  
Achariya Arts And Science College, Pondicherry  , Pondicherry  
Achariya College Of Education,, Pondicherry  
Achary Nanesh Shikshak Shiksha Mahavidhyalaya,, Rajasthan  
Acharya B.N. Seal College College,, West Bengal  
Acharya College Of Education,, Karnataka  
Acharya D Ed College,, Karnataka  
"Acharya Degree College, Narsampet", Narsampet  , Andhra Pradesh  
"Acharya Degree College, Zaheerabad", Zaheerabad  , Andhra Pradesh  
Acharya Deshabhushan College Of Education,, Karnataka  
Acharya First Grade College For Women,, Karnataka  
Acharya Institute Of Management & Science, Bangalore  , Karnataka  
Acharya Institute Of Technology, Bangalore  , Karnataka  
Acharya J C Bose College Calcutta,, West Bengal  
Acharya Jagadish Chandra Bose College,, West Bengal  
Acharya Jawadekar College Of Education,, Maharashtra  
Acharya Jawadekar Shikshan Shastra Mahavidyalaya,, Maharashtra  
Acharya Motibhai Patel Institude Of Computer Studies, Kherva  , Gujarat  
Acharya N G Ranga Andhra Pradesh Agricultural University, Hyderabad  , Andhra Pradesh  
Acharya N. G. Ranga College Of Education,, Andhra Pradesh  
Acharya Nagarjuna University, Guntur  , Andhra Pradesh  
Acharya Narendra Deo Kisan Degree College,, Uttar Pradesh  
Acharya Narendra Deo Kisan P G College,, Uttar Pradesh  
Acharya Narendra Deo Nagar Nigam Girls Degree (Pg) College,, Uttar Pradesh  
Acharya Narendra Deo Nagar Nigam Mahila Mahavidy,, Uttar Pradesh  
Acharya Narendra Deo Teacher Training Pg College,, Uttar Pradesh  
Acharya Narendra Dev College, Delhi  , Delhi  
Acharya Patasala Rural College Of Engineering A. P. S, Bangalore  , Karnataka  
Acharya Pathasala College Of Arts Science,, Karnataka  
Acharya Pathashala College Of Commerce,, Karnataka  
Acharya Pathashala Evening College Of Arts Commerece,, Karnataka  
Acharya Prafulla Chandra College,, West Bengal  
Acharya Prafulla Chandra College Of Commerce,, West Bengal  
Acharya Shree Nanesh Samta Mahavidyalaya,, Rajasthan  
"Acharya Shri Chander College Of Medical & Hospital, Jammu", Jammu  , Jammu And Kashmir  
Acharya Tulsi National College Commerce,, Karnataka  
Acharya Vidhyasagar Technical Education Society,, Madhya Pradesh  
Acharya Virag Sagar Vidyapeeth,, Madhya Pradesh  
Acharya'S Bangalore B. School, Bangalore  , Karnataka  
Achhruram Memorial College,, West Bengal  
Acme Institute Of Management & Technology,, Uttar Pradesh  
Acme Institute Of Management And Technology,, Uttar Pradesh  
Acropolis Institute Of Technology & Research, Bhopal  , Madhya Pradesh  
Acropolis Institute Of Technology And Research Indore, Indore  , Madhya Pradesh  
Act College Of Engineering & Technology, Chennai  , Tamil Nadu  
Adaikala Matha College, Vallam  , Tamil Nadu  
Adaikala Matha Institute Of Management, Kanyakumari  , Tamil Nadu  
Adaikalamatha Institute Of Teacher Education,, Tamil Nadu  
Adam College Of Education,, Andhra Pradesh  
Adamas Institute Of Technology, Barasat  , West Bengal  
Adam'S Engineering College, Hyderabad  , Andhra Pradesh  
Adarash College,, Jharkhand  
Adarash Education Society,, Maharashtra  
Adarash Teachers Training Center,, Karnataka  
"Adarsa Degree College, Kakinada", Kakinada  , Andhra Pradesh  
Adarsa Teacher Training Institute,, Andhra Pradesh  
Adarsh Adhyapak Vidyalaya,, Maharashtra  
Adarsh Adhyapan Vidyalaya,, Maharashtra  
Adarsh Bal Shala Mahila S Prashikshan Kendra,, Rajasthan  
Adarsh Bharati Mahavidyalaya,, Uttar Pradesh  
Adarsh College Of Education,, Haryana  
Adarsh College Of Education Post Office,, Himachal Pradesh  
Adarsh College Of Teacher Education,, Andhra Pradesh  
Adarsh College Science Commerce Arts, Karimnagar  , Andhra Pradesh  
Adarsh D Ed College,, Karnataka  
Adarsh Ded College,, Haryana  
Adarsh Degree College For Women, Guntur  , Andhra Pradesh  
"Adarsh Degree College, Mahboobnagar", Mahabubnagar  , Andhra Pradesh  
Adarsh Degree College. Medak, Medak  , Andhra Pradesh  
Adarsh Gyan Ganga Shikshan Sansthan,, Madhya Pradesh  
Adarsh Hindi Maha Vidyalaya Degree College, Nizamabad  , Andhra Pradesh  
Adarsh Janta Mahavidyalaya,, Uttar Pradesh  
Adarsh Kanya Mahavidyalaya,, Uttar Pradesh  
Adarsh Krishna College Of Edn,, Uttar Pradesh  
Adarsh Mahila Mahavidyalaya,, Haryana  
Adarsh Mahila Shikshak Prashikshan Mahavidyalaya,, Rajasthan  
Adarsh Pg College Of Computer Sciences, Mahabubnagar  , Andhra Pradesh  
Adarsh Physical Teacher Training College,, Rajasthan  
Adarsh Pre Primary Teachers Trg College,, Gujarat  
Adarsh Sangit College,, Madhya Pradesh  
Adarsh Science J.B. Arts And Birla Commerce Mahavidyalaya,, Maharashtra  
Adarsh Sewa Bhartiya Mahavidyalaya,, Uttar Pradesh  
Adarsh Shikshan Prasarak Mandal,, Maharashtra  
Adarsh Shikshan Prasark Mankals K T Path D Ed,, Maharashtra  
Adarsh Shri Basudeo Sanskrit Mahavidyalaya,, Uttar Pradesh  
Adarsh Subhash Tayal College Of Education,, Haryana  
Adarsh Vidya Mandir College Of Education Shiksha Mahavidyalaya,, Rajasthan  
Adarsh Vidya Vardhaka Sangha Shiv Parappasangappa Sajjan Art College,, Karnataka  
Adarsha Bahuddeshiya Shikshan Prasarak Mandal,, Maharashtra  
Adarsha College Of Education,, Andhra Pradesh  
Adarsha College Of Elementry Teacher Education,, Andhra Pradesh  
Adarsha Comprehensive College Of Edu And Research,, Maharashtra  
Adarsha D Ed College,, Karnataka  
"Adarsha Degree College, Cherial", Cherial  , Andhra Pradesh  
"Adarsha Law College, Hanamkonda", Hanamakonda  , Andhra Pradesh  
Adarsha Mahila Degree College, Vijayawada  , Andhra Pradesh  
Adarsha P T C College,, Gujarat  
Adarsha Shikshan Sansthas College Of Edn For (W),, Maharashtra  
Adarsha Shikshna Samitis Commerce College,, Karnataka  
Adarsha Vidya Samshte D Ed College,, Karnataka  
Adarsha Womens Degree College, Bellampally  , Andhra Pradesh  
Adepalli Mahalakshmi Devi Teacher Training Institu,, Andhra Pradesh  
Adesh Institute Of Engineering & Technology,, Punjab  
"Adesh Institute Of Medical Sciences & Research, Bhatinda", Bhathinda  , Punjab  
Adhar Mahila & Bal Vikas Sanstha,, Maharashtra  
Adharsh Vidhyalaya College Of Education
B L D E A Svachana Pitamaha Dr. P.G.Halakatti College Of Engineering And Technology ,Bijapur   ,Karnataka   
B S A College Of Engineering And Technology ,Mathura   ,Uttar Pradesh   
B. S. Abdur Rahman Crescent Engineering College ,Chingleput   ,Tamil Nadu   
B.A College Of Engineering And Technology ,,Jharkhand   
B.B.S. College Of Management & Technology ,Allahabad   ,Uttar Pradesh   
B.I.T Institute Of Technology ,Hindupur   ,Andhra Pradesh   
B.K.Birla Institute Of Engineering & Technology ,,Rajasthan   
B.M. College Of Technology & Management ,Gurgaon   ,Haryana   
B.M.S. Evening College Of Engineering ,Bangalore   ,Karnataka   
B.P. Poddar Institute Of Management &. Technology ,Calcutta   ,West Bengal   
B.S. Anangpuria Institute Of Technology & Management ,Faridabad   ,Haryana   
B.S.R. College Of Science And Technology ,Gokavaram   ,Andhra Pradesh   
Baba Banda Singh Bahadur Engineering College ,Patiala   ,Punjab   
Baba Hira Singh Bhattal Institute Of Engineering And Technology ,,Punjab   
Baba Kuma Singh Ji Engineering College ,Amritsar   ,Punjab   
Baba Saheb Dr. Bhim Rao Ambedkar College Of Agriculture Engineering & Technology ,,Uttar Pradesh   
Babaria Institute Of Technology ,Vadodara   ,Gujarat   
Babu Banarasi Das Institute Of Engineering & Technology & Research Centre ,Bulandshahar   ,Uttar Pradesh   
Babu Banarasi Das National Institute Of Technology And Management ,Lucknow   ,Uttar Pradesh   
Babu Banarsi Das Institute Of Technology ,Ghaziabad   ,Uttar Pradesh   
Babu Mohanlal Arya Smarak Engineering College ,Agra   ,Uttar Pradesh   
Bahubali College Of Engineering ,Hassan   ,Karnataka   
Balaji College Of Engineering ,Trichy   ,Tamil Nadu   
Balaji Institute Of Engineering & Sciences ,Narsampet   ,Andhra Pradesh   
Balaji Institute Of Engineering And Technology ,Kanchipuram   ,Tamil Nadu   
Balaji Institute Of Technology And Science ,Narsampet   ,Andhra Pradesh   
Balaji Institute Of Technology Management & Research ,Rajnandgaon   ,Chhattisgarh   
Balana Israna ,,Haryana   
Balasore College Of Engineering And Technology ,Balasore   ,Orissa   
Baldev Ram Mirdha Institute Of Technology ,Jaipur   ,Rajasthan   
Baldev Ram Mirdha Institute Of Technology Its ,Jaipur   ,Rajasthan   
Banarsidas Chandiwala Institute Of Information Technology ,Kalkaji   ,Delhi   
Bandari Srinivas Institute Of Technology ,Chevella   ,Andhra Pradesh   
Bangalore College Of Engineering And Technology ,Bangalore   ,Karnataka   
Bangalore Institute Of Technology ,Bangalore   ,Karnataka   
Bankura Unnayani Institute Of Engineering ,,West Bengal   
Bannari Amman Institute Of Technology ,Erode   ,Tamil Nadu   
"Bansal College Of Engineering, ",Mandideep   ,Madhya Pradesh   
Bansal Institute Of Research & Technology ,Bhopal   ,Madhya Pradesh   
Bansal Institute Of Science & Technology ,Bhopal   ,Madhya Pradesh   
Bapatla Engineering College ,Bapatla   ,Andhra Pradesh   
Bapuji Engineering College ,Nirmal   ,Andhra Pradesh   
"Bapuji Institute Of Engineering & Technology, ",Davanagere   ,Karnataka   
Bapurao Deshmukh College Of Engineering ,Wardha   ,Maharashtra   
"Bapurao Deshmukh College Of Engineering, Sewagram,Wardha ",,Maharashtra   
Bargur Engineering College ,Dharmapuri   ,Tamil Nadu   
Basava Academy Of Engineering ,Bangalore   ,Karnataka   
Basava Kalyan Engineering College ,Bidar   ,Karnataka   
Basaveshwara Institute Of Information Technology ,Hyderabad   ,Andhra Pradesh   
Basilous Mathews Ii College Of Engineering ,Kollam   ,Kerala   
Bbd Northern India Institute Of Technology ,Delhi   ,Delhi   
Beant College Of Engineering And Technology ,Amritsar   ,Punjab   
Bellary Engineering College ,Bellary   ,Karnataka   
Bengal College Of Engineering And Technology ,Durgapur   ,West Bengal   
Bengal Engineering College ,,West Bengal   
Bengal Institute Of Technology And Management ,Birbhum   ,West Bengal   
"Bengal Institute Of Technology"" ",Calcutta   ,West Bengal   
Besant Institute Of Technology And Science ,Anantapur   ,Andhra Pradesh   
Bethlahem Institute Of Engineering ,Kanyakumari   ,Tamil Nadu   
Bgs Institute Of Technology ,Mandya   ,Karnataka   
Bhabha Engineering Research Institute ,Bhopal   ,Madhya Pradesh   
Bhabha Institute Of Technology ,Kanpur   ,Uttar Pradesh   
Bhadrak Institute Of Engineering & Technology ,Barapada   ,Orissa   
Bhadrak Institute Of Engineering & Technology - Balasore 
Bhagalpur College Of Engineering ,Bhagalpur   ,Bihar   
Bhagwan Mahavir Institute Of Engineering & Technology ,,Haryana   
Bhagwan Parshuram College Of Engineering ,Gohana   ,Haryana   
Bhagwan Parshuram Institute Of Technology ,Delhi   ,Delhi   
Bhagwant Institute Of Technology ,Muzaffarnagar   ,Uttar Pradesh   
Bhagyanagar Institute Of Technology ,Rangareddy   ,Andhra Pradesh   
Bhai Gurdas Institute Of Engg. & Technology ,,Punjab   
Bhai Maha Singh College Of Engineering ,,Punjab   
Bhajarang Engineering College ,Tiruvannamalai   ,Tamil Nadu   
Bharat Institute Of Engineering And Technology ,Ibrahimpatnam   ,Andhra Pradesh   
Bharat Institute Of Technology ,Meerut   ,Uttar Pradesh   
Bharat Ratna Indira Gandhi College Of Engineering ,Sholapur   ,Maharashtra   
Bharath Institute Of Higher Education And Research ,Chennai   ,Tamil Nadu   
Bharath Institute Of Science And Technology ,Chennai   ,Tamil Nadu   
Bharath Niketan Engineering College ,Theni   ,Tamil Nadu   
Bharathidasan Engineering College ,Vellore   ,Tamil Nadu   
Bharathidasan Institute Of Engineering & Technology ,Trichy   ,Tamil Nadu   
Bharathiyar College Of Engineering & Technology ,Karaikal   ,Pondicherry   
Bharathiyar Institute Engineering Women ,Salem   ,Tamil Nadu   
Bharati Vidyapeeth'S College Of Engineerin Pune ,Pune   ,Maharashtra   
Bharati Vidyapeeth'S College Of Engineering ,Delhi   ,Delhi   
Bharati Vidyapeeth'S College Of Engineering Kolapur ,Kolhapur   ,Maharashtra   
Bharati Vidyapeeth'S College Of Engineering Maharastra ,Pune   ,Maharashtra   
Bharati Vidyapeeth'S College Of Engineering New Bombay ,Thane   ,Maharashtra   
Bharatiya Vidya Bhavan'S Sardar Patel College Of Engineering ,Mumbai   ,Maharashtra   
Bharatpur Engineering College ,Shyorana   ,Rajasthan   
Bharti College Of Engineering And Technology ,Durg   ,Chhattisgarh   
Bhartiya Vidya Mandir College Of Technology And Management ,Gwalior   ,Madhya Pradesh   
Bhasker Engineering College ,Narsampet   ,Andhra Pradesh   
Bhilai Institute Of Technology Bhilai House ,Bhilai   ,Chhattisgarh   
Bhimavaram Institute Of Engineering & Technology ,Palakoderu   ,Andhra Pradesh   
Bhiwani Institute Of Technology And Science ,,Haryana   
Bhoj Reddy Engineering College For Women ,Hyderabad   ,Andhra Pradesh   
Bhopal Engineering College ,,Madhya Pradesh   
Bhopal Institute Of Technology ,Bhopal   ,Madhya Pradesh   
Bhopal Institute Of Technology & Science ,Bhopal   ,Madhya Pradesh   
Bhutta College Of Engineering And Technology ,Ludhiana   ,Punjab   
Bihar Institute Of Silk & Textiles ,Bhagalpur   ,Bihar   
"Bihar Institute Of Technology, ",Dhanbad   ,Jharkhand   
Biju Patnaik University Of Technology Bput ,,Orissa   
Birbhum Institute Of Engineering & Technology ,Birbhum   ,West Bengal   
Birla Institute Of Applied Sciences ,Nainital   ,Uttaranchal   
Birla Vishvakarma Mahavidyalaya ,Anand   ,Gujarat   
Bkr College Of Engineering And Technology ,Chennai   ,Tamil Nadu   
Bm College Of Technology ,Indore   ,Madhya Pradesh   
Bm Institute Of Engineering & Technology ,,Haryana   
Bms College Of Engineering ,Bangalore   ,Karnataka   
Bms Institute Of Technology Management ,Bangalore   ,Karnataka   
Bnm Institute Of Technology ,Bangalore   ,Karnataka   
Bomma Institute Of Tech. & Science ,Khammam   ,Andhra Pradesh   
Bonam Venkata Chalamayya Engineering College ,Amalapuram   ,Andhra Pradesh   
Bonam Venkata Chalmayya Institute Of Technology ,Amalapuram   ,Andhra Pradesh   
Brahmdevdada Mane Institute Of Technology ,Sholapur   ,Maharashtra   
Brcm College Of Engineering And Technology ,,Haryana   
Brindavan College Of Engineering ,Bangalore   ,Karnataka   
Btl Institute Of Technology ,Bangalore   ,Karnataka   
Bundelkhand Institute Of Engineering & Technology ,Jhansi   ,Uttar Pradesh   
Bvb College Of Engineering And Technology - Dharwad ,Dharwad   ,Karnataka   
C B Patel Arts College,,Gujarat  
C E D College Education,,Jammu And Kashmir  
C M Bhola College,,Bihar  
C M College,,Bihar  
C M College Science,,Bihar  
C M Dubey Postgraduate College,,Chhattisgarh  
C M J College,,Bihar  
C M K National Girls College,,Haryana  
